layer,group,dW_fro_layer,mean_dW_stable_rank,count_mats
0,attn,237.24683061922167,114.89427454642862,2
0,mlp,354.34631330013633,178.76152655098184,2
1,attn,251.42798448788776,160.15108702008024,2
1,mlp,316.9884485671991,14.827475184276285,2
2,attn,280.5323865083446,286.8705800750452,2
2,mlp,415.4696224388072,68.48242222157154,2
3,attn,279.7786814852992,241.48448531945468,2
3,mlp,417.93881388318385,237.33415526961898,2
4,attn,291.35655928286565,251.25565851489478,2
4,mlp,416.9829089298567,264.34804421960916,2
5,attn,291.8783226024658,269.33900537281585,2
5,mlp,417.01167141559694,231.00272736037894,2
6,attn,289.80516694874177,274.30722741079285,2
6,mlp,418.58398394008066,121.25076065018125,2
7,attn,288.34451703170225,367.4467673793343,2
7,mlp,417.2765236094014,126.40377934089756,2
8,attn,288.9327488729265,249.54797759157753,2
8,mlp,415.90062764508804,181.44697119921395,2
9,attn,287.25262881194226,301.01684069124383,2
9,mlp,416.8207199146474,236.01509267254323,2
10,attn,290.25100991230966,303.3324335366394,2
10,mlp,419.3025809933256,304.8188069242331,2
11,attn,292.9502252400728,293.9320639621249,2
11,mlp,417.07607986471015,318.9638301923146,2
12,attn,295.14224160567204,289.02737990977676,2
12,mlp,415.2073572862135,392.4973487529313,2
13,attn,294.14057175975586,277.42252451767973,2
13,mlp,414.0103844665472,435.6055486345372,2
14,attn,294.9406722328515,284.8420848252114,2
14,mlp,412.8089065196472,375.8723299739921,2
15,attn,294.93804416568565,319.62805174166334,2
15,mlp,411.0191027232148,443.00314467443593,2
16,attn,292.63813513379523,332.0245483244255,2
16,mlp,411.89801429167824,485.9123792055798,2
17,attn,290.12302672105676,337.4416717322516,2
17,mlp,411.13896590824464,514.5822284776777,2
18,attn,290.2552381168653,297.4324570002579,2
18,mlp,411.49403346421735,491.19630342620326,2
19,attn,292.68967001214264,334.235693991368,2
19,mlp,412.3682186314228,485.24105024828145,2
20,attn,291.79520399974905,321.3268971071037,2
20,mlp,416.19599102044543,549.4830839817196,2
21,attn,292.1824935827153,419.2322722237732,2
21,mlp,420.58422302696647,538.4492717842595,2
22,attn,292.76523230426756,319.82170638185136,2
22,mlp,424.4918053333156,534.6081675459365,2
23,attn,294.45881985236196,375.4315057332494,2
23,mlp,431.9806154641324,485.90004175426463,2
24,attn,296.5827661101951,302.46410524349864,2
24,mlp,438.98519873504137,571.1469700430827,2
25,attn,299.17149287894546,370.81574115890396,2
25,mlp,449.1194916283148,529.4040988401348,2
26,attn,299.3942098338744,333.496630729546,2
26,mlp,458.706299745723,720.780620232312,2
27,attn,302.577114892144,378.466969813,2
27,mlp,467.0221066370841,675.1924679218339,2
28,attn,302.3135944077005,328.8281126975882,2
28,mlp,472.5702034639117,699.8565721275128,2
29,attn,304.2235702324725,507.23750222960587,2
29,mlp,477.56935363102093,579.8707397579465,2
30,attn,301.382418426077,235.11979941318282,2
30,mlp,481.1697768792781,381.0922914283995,2
31,attn,292.7888118099523,241.41549088374464,2
31,mlp,470.1249884803929,90.12149123694954,2
